COSING Ref No;INCI name;INN name;Ph. Eur. Name;CAS No;EC No;Chem/IUPAC Name / Description;Restriction;Function;Update Date
96248;HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT;;;;;"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";;SKIN CONDITIONING;6/8/18
98578;HYDROLYZED BEE LARVA EXTRACT;;;;;Hydrolyzed Bee Larva/Pupa Extract is the hydrolysate of the extract of bee larva and pupa derived by acid, enzyme or other method of hydrolysis.;;SKIN CONDITIONING - EMOLLIENT;9/18/20
96252;HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT;;;;;Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.;;SKIN PROTECTING;6/8/18
80077;ICTASOL;;; 1340-06-3; 215-671-7;Ichthyolic acid, sodium salt;;ANTI-SEBORRHEIC, ANTIMICROBIAL;5/24/18
88652;ISOOCTANOYL TETRAPEPTIDE-25;;; -; -;Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25 with a branched chain octanoic acid.;;SKIN CONDITIONING;5/14/14
89204;LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE;;;;;Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus.;;;10/8/12
96276;METHOXYETHANOL;;; 109-86-4; 203-713-7;Ethylene Glycol Monomethyl Ether Ethanol, 2-Methoxy- Ethylene glycol methyl ether Ethylene Glycol Monomethyl Ether;II/665 CMR1b (Reprotoxic 1B);SOLVENT, VISCOSITY CONTROLLING;7/15/20
96270;MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE;;;;;Myristoyl Glycine/Histidine/Lysine Polypeptide (Retired) is the product obtained by the reaction of myristic acid with a tripeptide consisting of gly-his-lys. The INCI Name, Myristoyl Glycine/Histidine/Lysine Polypeptide, originally developed in 1997, was designated with a retired status in 2013. For an interim period of time, trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph, and also published with the new name assignment, Myristoyl Tripeptide-1.;;SKIN CONDITIONING - MISCELLANEOUS;1/22/21
89819;NONAPEPTIDE-11;;;;;Nonapeptide-11 is the synthetic peptide consisting of arginine, glycine, leucine, lysine, phenylalanine, proline and tyrosine;;ANTI-SEBUM, SKIN PROTECTING;10/25/16
96278;PENTACLETHRA MACROPHYLLA SEED OIL;;;;;Pentaclethra Macrophylla Seed Oil is the fixed oil expressed from the seeds of Pentaclethra macrophylla, Fabaceae.;;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT;9/17/18
94754;TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE;;; 2040473-30-9;;Trisodium Tetramethylhexadecenylcysteine Bis-Carboxymethyl Formylamine is the organic compound that conforms to the formula;;SKIN PROTECTING;9/12/17
98158;(20S)-PROTOPANAXADIOL;;; 30636-90-9;;;;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING;4/30/20
99266;(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT;;;;;This is the extract of the flowers of Adonis amurensis, Akebia quinata, Albizia julibrissin, Althaea rosea, Angelica acutiloba, Angelica anomala, Aquilegia buergeriana, Artemisia princeps, Aster ciliosus, Aster scaber, Brassica campestris, Broussonetia kazinoki, Callistephus chinensis, Camellia japonica, Camellia sinensis, Campsis grandiflora, Caragana sinica, Carthamus tinctorius, Cassia obtusifolia, Celosia cristata, Cercis chinensis, Chaenomeles sinensis, Chrysanthemum indicum, Chrysanthemum zawadskii, Clematis terniflora, Commelina communis, Cornus kousa, Cornus officinalis, Corydalis incisa, Corydalis turtschaninovii, Cucurbita moschate, Dendrobium nobile, Dianthus chinensis, Elsholtzia splendens, Eupatorium lindleyanum, Forsythia koreana, Fritillaria ussuriensis, Gardenia jasminoides, Ginkgo biloba, Helianthus annuus, Helianthus tuberosus, Hemerocallis fulva, Hibiscus mutabilis, Hibiscus syriacus, Hosta plantaginae, Hydrangea macrophylla, Impatiens balsamina, Ipomea hederacea, Iris pallasii, Iris pseudacorus, Kerria japonica, Lagerstroemia indica, Leonurus sibiricus, Lespedeza bicolor, Lilium lancifolium, Lindera obtusiloba, Liriopes muscari, Lonicera japonica, Lycoris radiata, Magnolia kobus, Magnolia liliflora, Malus sieboldii, Narcissus tazetta, Nelumbo nucifera, Oenothera biennis, Paeonia lactiflora, Paeonia suffruticosa, Papaver rhoeas, Patrinia scabiosifolia, Paulownia coreana, Persicaria thunbergii, Petasites japonicus, Platycodon grandiflorus, Polygonum odoratum, Ponicirus trifoliata, Prunus armeniaca, Prunus mume, Prunus persica, Prunus serrulata, Prunus tomentosa, Pueraria lobata, Punica granatum, Rhododendron mucronulatum, Robinia pseudacacia, Rosa multiflora, Rosa rugosa, Sasa borealis, Sophora japonica, Spiraea prunifolia, Styrax japonica, Syringa vulgaris, Taraxacum platycarpum, Tulipa edulis, Viola mandschurica, Weigela subsessilis, Wisteria sinensis, Zanthoxylum schinifolium, Zea mays, Zingiber mioga , and Zinnia elegans. The accepted scientifi;;SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING;3/19/21
96986;(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT;;;;;(Agaricus Blazei Ferment + Ganoderma Lucidum Ferment + Ganoderma Multipileum Ferment) Extract is the extract of a mixture of the products obtained by the fermentation of Agaricus blazei , Ganoderma lucidum and Ganoderma multipileum.;;ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING;3/29/19
99267;(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT;;;;;(Alpinia Zerumbet/Artemisia Princeps/Averrhoa Carambola/Camellia Sinensis/Eriobotrya Japonica/Ginkgo Biloba/Melissa Officinalis/Mentha Piperita/Olea Europaea/Origanum Majorana/Perilla Frutescens/Prunus Persica/Salvia Officinalis) Leaf Extract is the extract of the leaves of Alpinia zerumbet , Artemisia princeps , Averrhoa carambola , Camellia sinensis , Eriobotrya japonica , Ginkgo biloba , Melissa officinalis , Mentha piperita , Olea europaea , Origanum majorana , Perilla frutescens , Prunus persica and Salvia officinalis (the accepted scientific name for Mentha piperita is Mentha x piperita).;;SKIN CONDITIONING - MISCELLANEOUS;3/19/21
99515;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT;;;;;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/(Cnidium Officinale/Zingiber Officinale) Rhizome Extract is the extract of the roots of Angelica acutiloba, Paeonia lactiflora, Rehmannia glutinosa, and the rhizomes of Cnidium officinale, and Zingiber officinale.;;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
90118;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT;;;;;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract is the extract of the roots of Angelica acutiloba, Paeonia lactiflora and Rehmannia glutinosa and the rhizomes of Cnidium officinale.;;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT;4/8/21
89285;(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT;;;;;"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.";;;10/8/12
99269;(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT;;;;;(Angelica Gigas/Cnidium Officinale/Paeonia Lactiflora) Root Extract is the extract of the roots of Angelica gigas , Cnidium officinale and Paeonia lactiflora.;;SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT, SKIN CONDITIONING - MISCELLANEOUS;3/19/21
89686;(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER;;;;;"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.";;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING;12/18/12
90764;(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT;;;;;"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";;ANTI-SEBORRHEIC, ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING;11/8/17
100160;(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE;;;;;"Apple/Banana/Grape/Lemon/Papaya/Pineapple) Fruit/Carrot Root/Sucrose Ferment Filtrate is a filtrate of the product obtained by the spontaneous fermentation of the fruits of: Malus domestica, Musa paradisiaca, Citrus limon, Carica papaya, and Ananas sativus; the roots of Daucus carota sativa, and sucrose.";;ANTIOXIDANT;9/28/21
96659;(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT;;;;;"This is the extract of the fruits of Citrus junos , Cucurbita pepo, Fragaria ananassa, Lens esculenta, Pyrus malus, Pyrus pyrifolia, and Solanum lycopersicum; the kernels of Zea mays; the leaves of Arctium lappa , Brassica oleracea acephala , Brassica oleracea capitata, Camellia sinensis , Moringa oleifera , Raphanus sativus, and Spinacia oleracea; the leaves and stems of Sorghum bicolor ; the meal of Avena sativa; the pulp of Solanum tuberosum; the roots of Daucus carota, Dioscorea oppositifolia, Nelumbo nucifera , and Raphanus sativus; the seeds of Amaranthus hypochondriacus , Anacardium occidentale, Cicer arietinum , Coix lacryma-Jobi ma-yuen , Glycine max, Macadamia ternifolia , Oryza sativa, Phaseolus angularis , Pistacia vera , Prunus amygdalus dulcis, Rhynchosia nulubilis , Sesamum indicum, Setaria italica , and Triticum turgidum; the sprouts of Hordeum vulgare ; the tubers of Cyperus esculentus ; the whole plants, Artemisia princeps , Brassica oleracea italica, Chenopodium quinoa , Enteromorpha compressa , Hordeum vulgare , Ipomoea batatas , Laminaria japonica , Lentinus edodes , Pleurotus ostreatus , Porphyra tenera , and Undaria pinnatifida.";;ANTIOXIDANT;3/29/19
98655;(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE;;;;;"This is a filtrate of the product obtained by the spontaneous fermentation of the bulbs of Allium cepa, Allium sativum, Arctium lappa, Colocasia esculenta, Daucus carota sativa, Dioscorea batatas, Ipomoea batatas, Nelumbo nucifera, Solanum tuberosum, and Zingiber officinale; the fruits of Actinidia chinensis, Castanea crenata, Citrus unshiu , Cucurbita pepo, Ficus carica, Lycopersicon esculentum, Malus pumila, Prunus mume, Prunus persica, Prunus salicina, Pyrus serotina, Raphanus sativus, Solanum melongena, Vitis vinifera, and Ziziphus jujuba; the leaves of Allium tuberosum, Aloe barbadensis, Angelica utilis , Apium graveolens, Brassica oleracea acephala , Brassica oleracea capitata, Saccharina japonica, and Undria pinnatifida; the stalks of Allium fistulosum, Enteromorpha compressa, and Oenanthe javanica; the whole plant, Lentinula edodes and sucrose.";;HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING;10/8/20
99526;(ARCTIUM LAPPA/RAPHANUS SATIVUS (RADISH)/MALVA VERTICILLATA) SEED OIL;;;;;(Arctium Lappa/Raphanus Sativus (Radish)/Malva Verticillata) Seed Oil is the volatile oil expressed from the seeds of Arctium lappa , Raphanus sativus , and Malva verticillata.;;SKIN CONDITIONING - EMOLLIENT;7/13/21
99547;(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT;;;;;This is the extract of the flowers of Arnica montana, Artemisia capillaris, Calendula officinalis, Cyanus segetum, the inflorescence of Humulus lupulus, Lavandula angustifolia, Lonicera japonica, Malva sylvestris, Matricaria chamomilla, Rosa centifolia, Sambucus nigra, and Tussilago farfara. The accepted scientific name for Cyanus segetum is Centaurea cyanus, and Rosa centifolia is Rosa x centifolia.;;SKIN CONDITIONING - HUMECTANT;7/13/21
99537;(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM /MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT;;;;;(Arnica Montana/Artemisia Capillaris/Calendula Officinalis/Cyanus Segetum /Matricaria Chamomilla/Humulus Lupulus/Lavandula Angustifolia/Lonicera Japonica/Malva Sylvestris/Rosa Centifolia/Sambucus Nigra/Tilia Cordata/Tussilago Farfara) Flower Extract is the extract of the flowers of Arnica montana , Artemisia capillaris , Calendula officinalis , Cyanus segetum , Matricaria chamomilla , Humulus lupulus , Lavandula angustifolia , Lonicera japonica , Malva sylvestris , Rosa centifolia , Sambucus nigra , Tilia cordata and Tussilago farfara. The accepted scientific name for Cyanus segetum is Centaurea cyanus , and Rosa centifolia is Rosa x centifolia.;;SKIN CONDITIONING - HUMECTANT;7/13/21
99541;(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT;;;;;(Arnica Montana/Calendula Officinalis/Matricaria Chamomilla) Flower Extract is the extract of the flowers of Arnica montana, Calendula officinalis and Matricaria chamomilla.;;SKIN CONDITIONING - HUMECTANT;7/13/21
99707;(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT;;;;;(Artemisia Capillaris/Cinnamomum Cassia Bark/Scutellaria Baicalensis Root/Coptis Japonica Rhizome) Extract is the extract of the whole plant, Artemisia capillaris , Cinnamomum Cassia Bark (q.v.), the roots of Scutellaria baicalensis and the rhizomes of Coptis japonica.;;ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS;7/13/21
99609;(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT;;;;;This is the extract of the leaves and stems of Artemisia princeps, Dendropanax morbifera, Eclipta prostrata, Eriobotrya japonica, Orostachys japonica, Portulaca oleracea, Sasa borealis, and Zizania latifolia.;;ANTIOXIDANT, SKIN PROTECTING;7/13/21
99516;(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT;;;;;(Artemisia Sieversiana/Dimocarpus Longana) Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Artemisia sieversiana and Dimocarpus longana.;;SKIN CONDITIONING - MISCELLANEOUS;7/13/21
96118;(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE;;;;;Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the stepwise fermentation of the grains of Hordeum vulgare (barley) and Nelumbo Nucifera Flower Extract, by the pre-fermentation product of the grains of Oryza sativa (rice), by the microorganisms, Aspergillus and Saccharomyces.;;BLEACHING;4/6/18
98651;(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT;;;;;"This is the extract of the roots of Astragalus membranaceus, Glycyrrhiza uralensis and Panax ginseng; the seeds of Amomum xanthioides; the sprouts of Hordeum vulgare; and the whole plants, Aralia cordata and Achyranthes japonica.";;SKIN CONDITIONING - MISCELLANEOUS;10/8/20
